actions,blocked_time_s,charge_trips,condition_percent,decision_ms,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,split,violation_count,violations,wh_per_unit
39,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.96,0.0,"{'A': 17, 'B': 30, 'C': 2}",49,317.6,97.8,4.446,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.4,rule,51,aged_battery,46.78,5015,3600.2,unseen,0,,0.0907
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 19, 'B': 29, 'C': 4}",52,308.6,97.9,4.497,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.0,rule,53,aged_battery,49.75,5016,3600.4,unseen,0,,0.0865
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 18, 'B': 31, 'C': 4}",53,298.3,97.7,4.361,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,52,aged_battery,50.82,5017,3601.0,unseen,0,,0.0823
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 19, 'B': 30, 'C': 4}",53,335.5,96.1,4.75,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.1,rule,53,aged_battery,50.63,5018,3600.2,unseen,0,,0.0896
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 20, 'B': 28, 'C': 4}",52,314.9,93.6,4.739,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,53,aged_battery,49.63,5019,3600.4,unseen,0,,0.0911
41,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 17, 'B': 28, 'C': 4}",49,319.2,97.5,4.544,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.6,rule,52,aged_battery,46.73,5020,3600.4,unseen,0,,0.0927
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,323.4,95.6,4.826,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,56,aged_battery,49.59,5021,3600.1,unseen,0,,0.0928
35,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,312.9,99.4,4.504,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.4,rule,55,aged_battery,47.75,5022,3600.3,unseen,0,,0.0901
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 17, 'B': 31, 'C': 4}",52,320.8,97.1,4.658,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,53,aged_battery,49.67,5023,3600.5,unseen,0,,0.0896
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 16, 'B': 27, 'C': 4}",47,312.5,98.9,4.497,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,52,aged_battery,44.75,5024,3600.2,unseen,0,,0.0957
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 16, 'B': 27, 'C': 4}",47,311.4,99.2,4.624,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,53,aged_battery,44.69,5025,3600.6,unseen,0,,0.0984
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 19, 'B': 30, 'C': 4}",53,327.4,95.8,4.768,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.0,rule,53,aged_battery,50.62,5026,3600.6,unseen,0,,0.09
39,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 13, 'B': 30, 'C': 4}",47,278.6,97.5,4.135,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,90.7,rule,50,aged_battery,44.93,5027,3600.3,unseen,0,,0.088
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 20, 'B': 29, 'C': 4}",53,325.4,92.4,4.967,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,53,aged_battery,50.52,5028,3600.4,unseen,0,,0.0937
41,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.96,0.0,"{'A': 13, 'B': 26, 'C': 4}",43,286.3,99.6,4.058,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.1,rule,46,aged_battery,40.97,5029,3600.2,unseen,0,,0.0944
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",13,99.95,0.0,"{'A': 18, 'B': 32, 'C': 4}",54,375.9,98.9,5.267,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.4,rule,54,balanced,51.37,5000,3600.7,seen,0,,0.0975
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,372.0,100.0,5.237,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,51,balanced,49.38,5001,3600.8,seen,0,,0.1007
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 21, 'B': 30, 'C': 4}",55,376.4,97.9,5.307,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,54,balanced,52.35,5002,3600.1,seen,0,,0.0965
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.96,0.0,"{'A': 18, 'B': 21, 'C': 4}",43,312.8,100.0,4.459,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,46,balanced,40.77,5003,3601.0,seen,0,,0.1037
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 31, 'C': 3}",52,359.5,100.0,5.089,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,53,balanced,49.46,5004,3600.8,seen,0,,0.0979
50,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 21, 'B': 29, 'C': 4}",54,378.6,98.8,5.415,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,54,balanced,51.29,5005,3600.7,seen,0,,0.1003
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,384.9,98.7,5.347,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,54,balanced,49.33,5006,3600.0,seen,0,,0.1028
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 21, 'B': 28, 'C': 4}",53,373.0,97.4,5.332,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,53,balanced,50.33,5007,3600.4,seen,0,,0.1006
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,375.2,99.6,5.252,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,52,balanced,47.37,5008,3600.1,seen,0,,0.105
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 18, 'B': 28, 'C': 2}",48,381.6,98.3,5.279,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,52,balanced,45.36,5009,3600.4,seen,0,,0.11
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 15, 'B': 28, 'C': 4}",47,345.6,100.0,4.881,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,49,balanced,44.56,5010,3600.1,seen,0,,0.1039
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 19, 'B': 28, 'C': 4}",51,360.2,98.7,5.207,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.2,rule,52,balanced,48.4,5011,3600.6,seen,0,,0.1021
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 27, 'C': 4}",49,322.5,99.5,4.608,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,53,balanced,46.7,5012,3600.8,seen,0,,0.094
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 22, 'B': 28, 'C': 3}",53,299.2,98.9,4.414,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,54,balanced,50.79,5013,3600.3,seen,0,,0.0833
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,358.1,100.0,5.101,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,55,balanced,48.45,5014,3600.3,seen,0,,0.1
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 18, 'B': 31, 'C': 2}",51,345.5,98.4,4.839,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.2,rule,51,balanced,48.58,5015,3600.8,seen,0,,0.0949
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 19, 'B': 26, 'C': 4}",49,333.8,99.6,4.736,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,52,balanced,46.63,5016,3600.9,seen,0,,0.0967
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,340.0,98.4,4.924,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,54,balanced,49.54,5017,3600.8,seen,0,,0.0947
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,365.4,100.0,5.184,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,54,balanced,49.41,5018,3601.0,seen,0,,0.0997
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 18, 'B': 28, 'C': 3}",49,299.0,99.5,4.347,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.6,rule,54,balanced,46.83,5019,3600.6,seen,0,,0.0887
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",13,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,376.7,100.0,5.291,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,52,balanced,48.35,5020,3600.8,seen,0,,0.1037
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,365.9,99.4,5.159,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.2,rule,55,balanced,49.42,5021,3600.2,seen,0,,0.0992
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 19, 'B': 30, 'C': 4}",53,306.5,99.0,4.457,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.8,rule,51,balanced,50.77,5022,3600.8,seen,0,,0.0841
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",14,99.94,0.0,"{'A': 18, 'B': 31, 'C': 4}",53,399.1,98.4,5.532,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.1,rule,52,balanced,50.23,5023,3600.4,seen,0,,0.1044
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,367.6,100.0,5.225,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,53,balanced,48.39,5024,3600.7,seen,0,,0.1024
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 21, 'B': 30, 'C': 4}",55,379.1,97.2,5.334,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,54,balanced,52.33,5025,3600.9,seen,0,,0.097
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,355.1,99.9,5.018,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,53,balanced,49.49,5026,3600.5,seen,0,,0.0965
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 12, 'B': 29, 'C': 4}",45,296.1,100.0,4.266,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,47,balanced,42.87,5027,3600.2,seen,0,,0.0948
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 21, 'B': 26, 'C': 4}",51,319.4,100.0,4.695,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,54,balanced,48.65,5028,3600.9,seen,0,,0.0921
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 12, 'B': 30, 'C': 4}",46,321.6,99.9,4.513,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,48,balanced,43.74,5029,3600.7,seen,0,,0.0981
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 12, 'B': 27, 'C': 2}",41,268.2,100.0,3.761,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,42,fault_burst,39.12,5000,3600.8,seen,0,,0.0917
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 12, 'B': 12, 'C': 0}",24,199.5,99.4,2.707,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,98.2,rule,24,fault_burst,22.65,5001,3600.5,seen,0,,0.1128
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.97,0.0,"{'A': 12, 'B': 12, 'C': 4}",28,223.5,100.0,3.147,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,28,fault_burst,26.43,5002,3600.2,seen,0,,0.1124
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.96,0.0,"{'A': 15, 'B': 17, 'C': 4}",36,256.7,99.8,3.694,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,39,fault_burst,34.15,5003,3600.2,seen,0,,0.1026
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 15, 'B': 8, 'C': 2}",25,196.8,99.2,2.765,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.2,rule,29,fault_burst,23.62,5004,3600.7,seen,0,,0.1106
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.96,0.0,"{'A': 12, 'B': 20, 'C': 2}",34,269.0,99.7,3.685,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,37,fault_burst,32.16,5005,3600.7,seen,0,,0.1084
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.97,0.0,"{'A': 9, 'B': 22, 'C': 2}",33,247.8,99.5,3.378,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,98.1,rule,35,fault_burst,31.31,5006,3600.4,seen,0,,0.1024
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 12, 'B': 20, 'C': 2}",34,245.1,99.3,3.461,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,35,fault_burst,32.27,5007,3600.4,seen,0,,0.1018
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.96,0.0,"{'A': 15, 'B': 16, 'C': 2}",33,268.5,99.2,3.685,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,37,fault_burst,31.16,5008,3600.5,seen,0,,0.1117
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 13, 'B': 16, 'C': 2}",31,235.3,98.0,3.26,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,33,fault_burst,29.37,5009,3600.4,seen,0,,0.1051
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 6, 'B': 25, 'C': 4}",35,237.2,97.4,3.354,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,34,fault_burst,33.32,5010,3600.2,seen,0,,0.0958
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 12, 'B': 21, 'C': 2}",35,263.6,98.9,3.788,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.2,rule,38,fault_burst,33.11,5011,3600.9,seen,0,,0.1082
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.97,0.0,"{'A': 12, 'B': 16, 'C': 2}",30,237.3,99.3,3.269,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,31,fault_burst,28.37,5012,3600.5,seen,0,,0.109
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 9, 'B': 22, 'C': 2}",33,226.8,100.0,3.183,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,34,fault_burst,31.41,5013,3600.5,seen,0,,0.0965
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.96,0.0,"{'A': 15, 'B': 20, 'C': 1}",36,260.6,98.3,3.648,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.6,rule,38,fault_burst,34.18,5014,3600.2,seen,0,,0.1013
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 9, 'B': 16, 'C': 2}",27,227.2,99.4,3.058,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,32,fault_burst,25.47,5015,3600.5,seen,0,,0.1133
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 15, 'B': 18, 'C': 4}",37,254.4,100.0,3.676,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,35,fault_burst,35.16,5016,3600.3,seen,0,,0.0994
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 10, 'B': 17, 'C': 2}",29,240.2,97.8,3.391,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,35,fault_burst,27.3,5017,3600.8,seen,0,,0.1169
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 12, 'B': 16, 'C': 2}",30,233.2,100.0,3.235,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,33,fault_burst,28.38,5018,3600.9,seen,0,,0.1078
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 15, 'B': 18, 'C': 2}",35,242.6,98.9,3.429,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,36,fault_burst,33.29,5019,3601.0,seen,0,,0.098
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,99.97,0.0,"{'A': 12, 'B': 13, 'C': 2}",27,184.7,100.0,2.66,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.8,rule,25,fault_burst,25.67,5020,3600.5,seen,0,,0.0985
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 12, 'B': 26, 'C': 2}",40,281.2,99.5,3.945,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,43,fault_burst,38.03,5021,3600.1,seen,0,,0.0986
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 9, 'B': 20, 'C': 2}",31,206.4,100.0,2.909,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.2,rule,34,fault_burst,29.55,5022,3600.3,seen,0,,0.0938
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.97,0.0,"{'A': 12, 'B': 19, 'C': 2}",33,212.1,99.2,2.983,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.4,rule,33,fault_burst,31.51,5023,3600.8,seen,0,,0.0904
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 9, 'B': 17, 'C': 4}",30,213.4,98.9,3.013,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,32,fault_burst,28.49,5024,3600.1,seen,0,,0.1004
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 9, 'B': 20, 'C': 2}",31,222.2,100.0,3.128,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,33,fault_burst,29.44,5025,3600.8,seen,0,,0.1009
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.96,0.0,"{'A': 12, 'B': 25, 'C': 2}",39,273.6,99.0,3.767,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,39,fault_burst,37.12,5026,3600.5,seen,0,,0.0966
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.96,0.0,"{'A': 15, 'B': 18, 'C': 2}",35,266.8,98.4,3.679,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,98.1,rule,39,fault_burst,33.16,5027,3600.1,seen,0,,0.1051
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.96,0.0,"{'A': 12, 'B': 20, 'C': 2}",34,262.0,98.8,3.607,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.1,rule,35,fault_burst,32.2,5028,3600.8,seen,0,,0.1061
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.96,0.0,"{'A': 12, 'B': 25, 'C': 2}",39,285.3,99.6,3.95,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,42,fault_burst,37.02,5029,3600.6,seen,0,,0.1013
22,"{'A': 1874.0, 'B': 2190.4, 'C': 2045.8}",2,99.97,0.0,"{'A': 19, 'B': 21, 'C': 2}",42,202.1,95.4,3.285,"{'A': 20.82, 'B': 36.51, 'C': 5.68}",63.01,48.1,rule,46,heavy_load,-22.65,5000,3600.1,unseen,0,,0.0782
23,"{'A': 1951.2, 'B': 2083.3, 'C': 1809.6}",2,99.96,0.0,"{'A': 14, 'B': 25, 'C': 4}",43,214.9,92.7,3.55,"{'A': 21.68, 'B': 34.72, 'C': 5.03}",61.43,49.6,rule,47,heavy_load,-20.2,5001,3600.1,unseen,0,,0.0826
