from,length_m,matrix_m,mean_clearance_m,min_clearance_m,planner,planning_ms,poses,repeat,status,to,turning_rad
A,8.978,9.04,0.522,0.283,Smac2D,4.0,169,0,ok,charger,6.512
B,18.342,18.28,0.528,0.304,Smac2D,28.0,342,0,ok,A,7.957
B,9.123,9.24,0.521,0.354,Smac2D,4.0,167,0,ok,C,4.671
B,10.357,10.26,0.618,0.304,Smac2D,8.0,181,0,ok,delivery,2.65
B,15.334,15.18,0.563,0.304,Smac2D,12.0,281,0,ok,charger,6.354
C,15.76,15.56,0.538,0.283,Smac2D,20.0,295,0,ok,A,8.288
C,9.088,9.24,0.472,0.304,Smac2D,4.0,167,0,ok,B,3.959
C,6.346,6.3,0.632,0.4,Smac2D,4.0,126,0,ok,delivery,1.554
C,11.334,11.27,0.658,0.45,Smac2D,4.0,226,0,ok,charger,0.634
delivery,10.091,10.01,0.533,0.283,Smac2D,4.0,180,0,ok,A,6.37
delivery,10.503,10.26,0.521,0.304,Smac2D,12.0,181,0,ok,B,4.455
delivery,6.402,6.3,0.613,0.391,Smac2D,4.0,126,0,ok,C,1.782
delivery,5.236,5.1,0.725,0.55,Smac2D,4.0,101,0,ok,charger,2.409
charger,8.863,9.04,0.505,0.283,Smac2D,8.0,169,0,ok,A,5.785
charger,15.31,15.18,0.563,0.316,Smac2D,20.0,281,0,ok,B,6.862
charger,11.333,11.27,0.647,0.364,Smac2D,18.79,226,0,ok,C,2.007
charger,5.251,5.1,0.726,0.55,Smac2D,4.0,101,0,ok,delivery,2.427
A,17.996,18.28,0.61,0.316,ThetaStar,16.0,348,0,ok,B,7.247
A,15.41,15.56,0.567,0.316,ThetaStar,8.0,299,0,ok,C,6.065
A,9.896,10.01,0.601,0.335,ThetaStar,4.0,186,0,ok,delivery,7.643
A,8.845,9.04,0.549,0.316,ThetaStar,4.0,170,0,ok,charger,5.034
B,18.157,18.28,0.593,0.316,ThetaStar,20.0,351,0,ok,A,7.781
B,9.1,9.24,0.486,0.316,ThetaStar,4.0,168,0,ok,C,3.387
B,10.314,10.26,0.596,0.335,ThetaStar,8.0,185,0,ok,delivery,4.813
B,15.138,15.18,0.568,0.335,ThetaStar,12.0,285,0,ok,charger,4.896
C,15.394,15.56,0.576,0.316,ThetaStar,24.0,300,0,ok,A,5.053
C,9.087,9.24,0.505,0.316,ThetaStar,4.0,167,0,ok,B,4.756
C,6.348,6.3,0.658,0.4,ThetaStar,4.0,127,0,ok,delivery,1.172
C,11.291,11.27,0.62,0.35,ThetaStar,4.0,226,0,ok,charger,0.872
delivery,9.888,10.01,0.626,0.335,ThetaStar,4.0,185,0,ok,A,4.103
delivery,10.264,10.26,0.66,0.354,ThetaStar,4.0,185,0,ok,B,4.844
delivery,6.318,6.3,0.613,0.403,ThetaStar,4.0,126,0,ok,C,0.735
delivery,5.13,5.1,0.715,0.502,ThetaStar,12.81,102,0,ok,charger,0.322
charger,8.856,9.04,0.566,0.335,ThetaStar,8.0,170,0,ok,A,5.722
charger,15.106,15.18,0.636,0.335,ThetaStar,16.0,286,0,ok,B,5.395
charger,11.294,11.27,0.65,0.35,ThetaStar,4.0,226,0,ok,C,0.288
charger,5.135,5.1,0.701,0.55,ThetaStar,8.57,102,0,ok,delivery,1.206
A,18.648,18.28,0.575,0.335,SmacLattice,24.0,359,0,ok,B,8.339
A,16.522,15.56,0.623,0.316,SmacLattice,60.0,316,0,ok,C,9.52
A,10.492,10.01,0.595,0.292,SmacLattice,732.0,217,0,ok,delivery,6.231
A,11.468,9.04,0.544,0.292,SmacLattice,180.0,220,0,ok,charger,9.659
B,18.371,18.28,0.562,0.32,SmacLattice,20.0,360,0,ok,A,7.351
B,9.943,9.24,0.522,0.335,SmacLattice,48.0,195,0,ok,C,6.972
B,10.441,10.26,0.593,0.32,SmacLattice,592.0,220,0,ok,delivery,3.783
B,17.107,15.18,0.61,0.32,SmacLattice,120.0,325,0,ok,charger,6.799
C,15.798,15.56,0.603,0.32,SmacLattice,16.0,310,0,ok,A,6.58
C,9.173,9.24,0.53,0.361,SmacLattice,12.0,176,0,ok,B,3.302
C,6.419,6.3,0.597,0.391,SmacLattice,300.0,145,0,ok,delivery,1.984
C,12.98,11.27,0.646,0.364,SmacLattice,20.0,259,0,ok,charger,4.088
delivery,10.158,10.01,0.607,0.335,SmacLattice,16.0,191,0,ok,A,6.263
delivery,10.376,10.26,0.661,0.32,SmacLattice,12.0,187,0,ok,B,2.702
delivery,6.714,6.3,0.676,0.4,SmacLattice,8.0,123,0,ok,C,3.16
delivery,7.021,5.1,0.691,0.4,SmacLattice,8.0,127,0,ok,charger,5.424
charger,9.095,9.04,0.599,0.32,SmacLattice,12.0,168,0,ok,A,4.629
charger,15.172,15.18,0.629,0.316,SmacLattice,16.0,276,0,ok,B,3.153
charger,11.69,11.27,0.697,0.45,SmacLattice,8.0,217,0,ok,C,2.895
charger,5.35,5.1,0.506,0.35,SmacLattice,304.0,109,0,ok,delivery,1.285
